id,наименование,цена,бренд,скидка,рейтинг,в наличии,id продавца,Количество отзывов,Оценка товара
146742389,Очки виртуальной реальности,2763.0,IG PLAY,80,4,35,283938,1106,4.2
149594677,Квадрокоптер,3116.0,IG PLAY,75,4,40,283938,291,3.9
149632911,Квадрокоптер,4106.0,IG PLAY,80,4,35,283938,291,3.9
99845720,Очки виртуальной реальности,3363.0,IG PLAY,80,4,100,283938,1106,4.2
99845718,Очки виртуальной реальности,3111.0,IG PLAY,85,4,77,283938,1106,4.2
176279410,Теплый свитер оверсайз вязанный с горлом,829.0,LEEROUX,83,4,84,283938,0,
176472904,Свитер трикотажный на молнии оверсайз,829.0,LEEROUX,83,4,48,283938,0,
176279408,Теплый свитер оверсайз вязанный с горлом,829.0,LEEROUX,83,5,84,283938,0,
62028077,Ботиночки для собак любой породы осенние,791.0,Dambo,26,4,3,283938,643,4.2
58107997,Очки виртуальной реальности,2085.0,IG PLAY,80,4,66,283938,1106,4.2
99845331,Очки виртуальной реальности,2844.0,IG PLAY,78,4,71,283938,1106,4.2
176279411,Теплый свитер оверсайз вязанный с горлом,829.0,LEEROUX,83,4,84,283938,0,
176272269,Комбинезон вечерний офисный,1106.0,LEEROUX,77,4,30,283938,49,4.4
181608837,Ботиночки для собак любой породы осенние,765.0,Dambo,61,4,3,283938,643,4.2
176278162,Теплый свитер оверсайз вязанный с горлом,829.0,LEEROUX,83,4,84,283938,0,
176279412,Теплый свитер оверсайз вязанный с горлом,829.0,LEEROUX,83,4,84,283938,0,
176279407,Теплый свитер оверсайз вязанный с горлом,829.0,LEEROUX,83,4,84,283938,0,
176278166,Теплый свитер оверсайз вязанный с горлом,829.0,LEEROUX,83,4,84,283938,0,
176272652,Боди утягивающее под пиджак,908.0,LEEROUX,81,5,44,283938,6,4.5
176272653,Боди утягивающее под пиджак,908.0,LEEROUX,81,5,44,283938,6,4.5
146742391,Очки виртуальной реальности,2541.0,IG PLAY,72,4,46,283938,1106,4.2
167525249,Микрофон студийный,2282.0,IG PLAY,80,5,49,283938,0,
176272268,Комбинезон вечерний офисный,1422.0,LEEROUX,71,4,30,283938,49,4.4
146738525,Очки виртуальной реальности,3771.0,IG PLAY,78,4,35,283938,1106,4.2
91845373,Микроскоп школьный для исследования и экспериментов,1226.0,IG PLAY,80,4,58,283938,294,4.5
176472906,Свитер трикотажный на молнии оверсайз,829.0,LEEROUX,83,4,48,283938,0,
176279413,Теплый свитер оверсайз вязанный с горлом,829.0,LEEROUX,83,4,84,283938,0,
176278164,Теплый свитер оверсайз вязанный с горлом,829.0,LEEROUX,83,4,84,283938,0,
176472905,Свитер трикотажный на молнии оверсайз,829.0,LEEROUX,83,4,48,283938,0,
188542844,Микрофон студийный,2592.0,IG PLAY,78,5,49,283938,0,
149794208,Биологический микроскоп для школьника 1200х,3348.0,IG PLAY,80,4,120,283938,294,4.5
176278163,Теплый свитер оверсайз вязанный с горлом,829.0,LEEROUX,83,4,84,283938,0,
181608836,Ботиночки для собак любой породы осенние,765.0,Dambo,61,4,3,283938,643,4.2
178345479,"Электрический перкуссионный массажер для ног, лица и шеи",3346.0,IG PLAY,55,5,32,283938,29,4.9
164742673,Фотоэпилятор лазерный,1849.0,IG PLAY,85,4,54,283938,15,4.1
91945920,Очки виртуальной реальности,1290.0,IG PLAY,80,4,45,283938,1106,4.2
176475249,Брюки классические палаццо,829.0,LEEROUX,83,4,36,283938,0,
176475250,Брюки классические палаццо,829.0,LEEROUX,83,4,36,283938,0,
176270038,Пальто осеннее оверсайз,4029.0,LEEROUX,59,5,210,283938,0,
176277693,Трусы бесшовные набор 3 шт,450.0,LEEROUX,85,4,2,283938,4,4.2
167308305,Робот стеклоочиститель,4398.0,IG PLAY,79,3,78,283938,2,3.0
176269949,Пальто осеннее оверсайз,4187.0,LEEROUX,58,5,210,283938,0,
176467517,Теплый свитер оверсайз вязанный с горлом,829.0,LEEROUX,83,4,84,283938,0,
176474461,Топ короткий в рубчик,404.0,LEEROUX,79,4,18,283938,0,
181608838,Ботиночки для собак любой породы осенние,765.0,Dambo,61,4,3,283938,643,4.2
176277692,Трусы бесшовные набор 2 шт,220.0,LEEROUX,89,4,2,283938,4,4.2
188542843,Микрофон студийный,2552.0,IG PLAY,76,5,49,283938,0,
176474462,Топ короткий в рубчик,404.0,LEEROUX,79,4,18,283938,0,
167305846,Массажный пистолет для тела и ног,1581.0,IG PLAY,66,4,32,283938,0,
176278161,Теплый свитер оверсайз вязанный с горлом,829.0,LEEROUX,83,4,84,283938,0,
176475251,Брюки классические палаццо,840.0,LEEROUX,83,3,36,283938,1,3.0
178345480,"Электрический перкуссионный массажер для ног, лица и шеи",2298.0,IG PLAY,48,5,32,283938,29,4.9
176474460,Топ короткий в рубчик,395.0,LEEROUX,80,4,18,283938,0,
173278345,Свитер оверсайз в полоску осенние,790.0,LEEROUX,84,5,47,283938,0,
176278165,Теплый свитер оверсайз вязанный с горлом,829.0,LEEROUX,83,4,84,283938,2,3.7
